label,text
3,"I 'll put it this way : If you 're in the mood for a melodrama narrated by talking fish , this is the movie for you ."
1,"In other words , about as bad a film you 're likely to see all year ."
2,Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .
3,Admirably ambitious but self-indulgent .
2,The movie does n't generate a lot of energy .
2,"Pretty much sucks , but has a funny moment or two ."
4,I could n't recommend this film more .
5,Surprisingly powerful and universal .
4,"Despite its flaws , Secretary stays in your head and makes you question your own firmly held positions ."
4,Terrific casting and solid execution give all three stories life .
2,Disney again ransacks its archives for a quick-buck sequel .
5,"A delectable and intriguing thriller filled with surprises , Read My Lips is an original ."
3,"Peralta 's mythmaking could have used some informed , adult hindsight ."
2,"The screenplay by James Eric , James Horton and director Peter O'Fallon ... is so pat it makes your teeth hurt ."
3,... a preachy parable stylized with a touch of John Woo bullet ballet .
1,"What you get with Empire is a movie you 've seen many times before , repackaged as new material because there is a Latino in the lead ."
4,"A thriller with an edge -- which is to say that it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ."
1,In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life ; despite the title ... amounts to surprisingly little .
1,"The director , with his fake backdrops and stately pacing , never settles on a consistent tone ."
2,McTiernan 's remake may be lighter on its feet -- the sober-minded original was as graceful as a tap-dancing rhino -- but it is just as boring and as obvious .
2,It 's surprisingly bland despite the heavy doses of weird performances and direction .
5,That Haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace .
4,Campanella 's competent direction and his excellent cast overcome the obstacles of a predictable outcome and a screenplay that glosses over Rafael 's evolution .
5,"A thoughtful , reverent portrait of what is essentially a subculture , with its own rules regarding love and family , governance and hierarchy ."
3,The dark and bittersweet twist feels strange as things turn nasty and tragic during the final third of the film .
3,Gibney and Jarecki just want to string the bastard up .
1,"Comes across as a relic from a bygone era , and its convolutions ... feel silly rather than plausible ."
4,A seriocomic debut of extravagant promise by Georgian-Israeli director Dover Kosashvili .
5,"The byplay and bickering between the now spy-savvy siblings , Carmen ( Vega ) and Juni ( Sabara ) Cortez , anchor the film in a very real and amusing give-and-take ."
5,A strangely stirring experience that finds warmth in the coldest environment and makes each crumb of emotional comfort feel like a 10-course banquet .
2,"A mawkish , implausible platonic romance that makes Chaplin 's City Lights seem dispassionate by comparison ."
3,... think of it as American Pie On Valium .
2,"The Merchant-Ivory team continues to systematically destroy everything we hold dear about cinema , only now it 's begun to split up so that it can do even more damage ."
5,"A thoroughly engaging , surprisingly touching British comedy ."
1,"Cox offers plenty of glimpses at existing photos , but there are no movies of Nijinsky , so instead the director treats us to an aimless hodgepodge ."
2,Boyd 's screenplay ( co-written with Guardian hack Nick Davies ) has a florid turn of phrase that owes more to Guy Ritchie than the Bard of Avon .
4,"I enjoyed the movie in a superficial way , while never sure what its purpose was ."
5,"A delightful , if minor , pastry of a movie ."
5,It 's a fairy tale that comes from a renowned Indian film culture that allows Americans to finally revel in its splendor .
2,"The film is grossly contradictory in conveying its social message , if indeed there is one ."
2,"It 's definitely not made for kids or their parents , for that matter , and I think even fans of Sandler 's comic taste may find it uninteresting ."
5,"More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food ."
5,"Pete 's screenplay manages to find that real natural , even-flowing tone that few movies are able to accomplish ."
5,"Charlie Hunnam has the twinkling eyes , repressed smile and determined face needed to carry out a Dickensian hero ."
5,The history is fascinating ; the action is dazzling .
2,At once half-baked and overheated .
5,Offers a guilt-free trip into feel-good territory .
1,"This would-be ` James Bond for the Extreme Generation ' pic is one big , dumb action movie ."
4,"every once in a while , a movie will come along that turns me into that annoying specimen of humanity that I usually dread encountering the most - The Fanboy"
4,A quasi-documentary by French filmmaker Karim Dridi that celebrates the hardy spirit of Cuban music .
2,"Why , you may ask , why should you buy the movie milk when the TV cow is free ?"
1,( A ) poorly executed comedy .
1,"A stupid , derivative horror film that substitutes extreme gore for suspense ."
2,"Barney 's ideas about creation and identity do n't really seem all that profound , at least by way of what can be gleaned from this three-hour endurance test built around an hour 's worth of actual material ."
4,"Bolstered by an astonishing voice cast ( excepting Love Hewitt ) , an interesting racial tension , and a storyline that I have n't encountered since at least Pete 's Dragon ."
4,"Oh , look at that clever angle !"
2,It 's only in fairy tales that princesses that are married for political reason live happily ever after .
4,"It 's an ambitious film , and as with all ambitious films , it has some problems ."
4,"Standing by Yourself is haunting ... ( It 's ) what punk rock music used to be , and what the video medium could use more of : spirit , perception , conviction ."
2,"K-19 may not hold a lot of water as a submarine epic , but it holds even less when it turns into an elegiacally soggy Saving Private Ryanovich ."
2,"Flotsam in the sea of moviemaking , not big enough for us to worry about it causing significant harm and not smelly enough to bother despising ."
2,"Pascale Bailly 's rom-com provides Amélie 's Audrey Tautou with another fabuleux destin -- i.e. , a banal spiritual quest ."
2,"What Jackson has done is proven that no amount of imagination , no creature , no fantasy story and no incredibly outlandish scenery"
1,No amount of good intentions is able to overcome the triviality of the story .
5,It 's been done before but never so vividly or with so much passion .
3,"Despite the holes in the story and the somewhat predictable plot , moments of the movie caused me to jump in my chair ..."
1,It 's so devoid of joy and energy it makes even Jason X ... look positively Shakesperean by comparison .
4,"There are plenty of scenes in Frida that do work , but rarely do they involve the title character herself ."
5,"... is funny in the way that makes you ache with sadness ( the way Chekhov is funny ) , profound without ever being self-important , warm without ever succumbing to sentimentality ."
4,The rare Imax movie that you 'll wish was longer than an hour .
2,The film itself is about something very interesting and odd that would probably work better as a real documentary without the insinuation of mediocre acting or a fairly trite narrative .
3,"( Kirshner wins , but it 's close . )"
3,Goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .
1,"An ugly , pointless , stupid movie ."
5,Manages to be both hugely entertaining and uplifting .
4,The dragons are the real stars of Reign of Fire and you wo n't be disappointed .
4,There 's a wickedly subversive bent to the best parts of Birthday Girl .
4,Neatly constructed thriller .
3,A fascinating but choppy documentary.
2,- greaseballs mob action-comedy .
3,"Gives us a lot to chew on , but not all of it has been properly digested ."
2,Some Like It Hot on the Hardwood proves once again that a man in drag is not in and of himself funny .
5,Nicholson 's understated performance is wonderful .
4,"The story line may be 127 years old , but El Crimen del Padre Amaro ... could n't be more timely in its despairing vision of corruption within the Catholic establishment ."
3,"What started out as a taut contest of wills between Bacon and Theron , deteriorates into a protracted and borderline silly chase sequence ."
2,"It does n't offer audiences any way of gripping what its point is , or even its attitude toward its subject ."
5,"More than their unique residences , Home Movie is about the people who live in them , who have carved their own comfortable niche in the world and have been kind enough to share it ."
3,"Apart from dazzling cinematography , we 've seen just about everything in Blue Crush in one form or the other ."
4,"Me no lika da accents so good , but I thoroughly enjoyed the love story ."
5,"If the real-life story is genuinely inspirational , the movie stirs us as well ."
4,The sword fighting is well done and Auteuil is a goofy pleasure .
4,"What the movie lacks in action it more than makes up for in drama , suspense , revenge , and romance ."
3,"Ah , what the hell ."
4,A harrowing account of a psychological breakdown .
5,"This quiet , introspective and entertaining independent is worth seeking ."
3,"In the end , all you can do is admire the ensemble players and wonder what the point of it is ."
3,"A journey that 's too random and inconclusive to be compelling , but which Hoffman 's brilliance almost makes worth taking ."
3,"( Taylor ) takes us on a ride that 's consistently surprising , easy to watch -- but , oh , so dumb ."
5,"Mr. Deeds is sure to give you a lot of laughs in this simple , sweet and romantic comedy ."
2,"A horror movie with seriously dumb characters , which somewhat dilutes the pleasure of watching them stalked by creepy-crawly bug things that live only in the darkness ."
2,"This cloying , voices-from-the-other-side story is hell ."
4,But he somehow pulls it off .
2,Not just unlikable .
4,"A work of the utmost subtlety and perception , it marks the outstanding feature debut of writer-director Eric Byler , who understands the power of the implicit and the virtues of simplicity and economy ."
1,"Dragonfly has no atmosphere , no tension -- nothing but Costner , flailing away ."
4,"The heart of the film is a touching reflection on aging , suffering and the prospect of death ."
5,A delicious and delicately funny look at the residents of a Copenhagen neighborhood coping with the befuddling complications life tosses at them .
3,I ca n't remember the last time I saw a movie where I wanted so badly for the protagonist to fail .
3,Tian emphasizes the isolation of these characters by confining color to Liyan 's backyard .
2,Some Body smacks of exhibitionism more than it does cathartic truth telling .
2,... too sappy for its own good .
2,The script becomes lifeless and falls apart like a cheap lawn chair .
4,"At a time when commercialism has squeezed the life out of whatever idealism American moviemaking ever had , Godfrey Reggio 's career shines like a lonely beacon ."
2,"If you 're looking for a story , do n't bother ."
4,"If you have n't seen the film lately , you may be surprised at the variety of tones in Spielberg 's work ."
4,A good documentary can make interesting a subject you thought would leave you cold .
1,A mechanical action-comedy whose seeming purpose is to market the charismatic Jackie Chan to even younger audiences .
2,"Busy urban comedy is clearly not Zhang 's forte , his directorial touch is neither light nor magical enough to bring off this kind of whimsy ."
1,`` ... something appears to have been lost in the translation this time .
4,"Just when you think that every possible angle has been exhausted by documentarians , another new film emerges with yet another remarkable yet shockingly little-known perspective ."
2,"Patchy combination of soap opera , low-tech magic realism and , at times , ploddingly sociological commentary ."
2,A dark comedy that goes for sick and demented humor simply to do so .
3,"`` Feardotcom '' has the makings of an interesting meditation on the ethereal nature of the internet and the otherworldly energies it could channel , but it simply becomes a routine shocker ."
2,Too silly to take seriously .
5,"There 's nothing like love to give a movie a B-12 shot , and CQ shimmers with it ."
4,"It 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart ."
1,"It would be churlish to begrudge anyone for receiving whatever consolation that can be found in Dragonfly , yet it is impossible to find the film anything but appalling , shamelessly manipulative and contrived , and totally lacking in conviction ."
2,Return to Neverland manages to straddle the line between another classic for the company and just another run-of-the-mill Disney sequel intended for the home video market .
3,Anyone else seen this before ?
4,"Legendary Irish writer Brendan Behan 's memoir , Borstal Boy , has been given a loving screen transferral ."
2,The movie is a mess from start to finish .
4,The film is predictable in the reassuring manner of a beautifully sung holiday carol .
2,"The film is based on truth and yet there is something about it that feels incomplete , as if the real story starts just around the corner ."
4,Its director 's most substantial feature for some time .
4,"The sight of the spaceship on the launching pad is duly impressive in IMAX dimensions , as are shots of the astronauts floating in their cabins ."
4,"The film has the high-buffed gloss and high-octane jolts you expect of De Palma , but what makes it transporting is that it 's also one of the smartest , most pleasurable expressions of pure movie love to come from an American director in years ."
4,Maintains your sympathy for this otherwise challenging soul by letting you share her one-room world for a while .
4,But never mind all that ; the boobs are fantasti
3,"Ultimately , the message of Trouble Every Day seems to be that all sexual desire disrupts life 's stasis ."
2,Notorious C.H.O. has oodles of vulgar highlights .
1,We do n't get paid enough to sit through crap like this .
1,"The notion of deleting emotion from people , even in an advanced Prozac Nation , is so insanely dysfunctional that the rampantly designed Equilibrium becomes a concept doofus ."
5,Remarkable for its intelligence and intensity .
3,"This slow-moving Swedish film offers not even a hint of joy , preferring to focus on the humiliation of Martin as he defecates in bed and urinates on the plants at his own birthday party ."
2,Empire ca n't make up its mind whether it wants to be a gangster flick or an art film .
5,"Mr. Caine and Mr. Fraser are the whole show here , with their memorable and resourceful performances ."
3,"With Freeman and Judd , I 'll at least remember their characters ."
2,-- is a crime that should be punishable by chainsaw .
1,A lame comedy .
4,"Using a stock plot , About a Boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater ."
2,A negligible British comedy .
3,Or that the battery on your watch has died .
1,The disjointed mess flows as naturally as Jolie 's hideous yellow ` do .
3,Apparently writer-director Attal thought he need only cast himself and his movie-star wife sitting around in their drawers to justify a film .
5,"Colorful , energetic and sweetly whimsical ... the rare sequel that 's better than its predecessor ."
4,An edifying glimpse into the wit and revolutionary spirit of these performers and their era .
2,"Formulaic to the 51st power , more like ."
2,But the movie 's narrative hook is way too muddled to be an effectively chilling guilty pleasure .
5,"Measured against practically any like-themed film other than its Oscar-sweeping franchise predecessor The Silence of the Lambs , Red Dragon rates as an exceptional thriller ."
2,It makes me feel weird / Thinking about all the bad things in the world / Like puppies with broken legs / And butterflies that die / And movies starring pop queens
4,"For those in search of something different , Wendigo is a genuinely bone-chilling tale ."
2,Disjointed parody .
4,It 's great escapist fun that recreates a place and time that will never happen again .
5,"Béart and Berling are both superb , while Huppert ... is magnificent ."
3,"But , for that , why not watch a documentary ?"
1,... the movie is just a plain old monster .
3,This harrowing journey into combat hell vividly captures the chaotic insanity and personal tragedies that are all too abundant when human hatred spews forth unchecked .
4,"We 've seen it all before in one form or another , but director Hoffman , with great help from Kevin Kline , makes us care about this latest reincarnation of the world 's greatest teacher ."
5,"borrows a bit from the classics `` Wait Until Dark '' and `` Extremities '' ... But in terms of its style , the movie is in a class by itself ."
4,"The wonderfully lush Morvern Callar is pure punk existentialism , and Ms. Ramsay and her co-writer , Liana Dognini , have dramatized the Alan Warner novel , which itself felt like an answer to Irvine Welsh 's book Trainspotting ."
4,It is an unstinting look at a collaboration between damaged people that may or may not qual
5,The early and middle passages are surprising in how much they engage and even touch us .
4,"At times a bit melodramatic and even a little dated ( depending upon where you live ) , Ignorant Fairies is still quite good-natured and not a bad way to spend an hour or two ."
3,"His best film remains his shortest , The Hole , which makes many of the points that this film does but feels less repetitive ."
1,The pacing is often way off and there are too many bona fide groaners among too few laughs .
5,"Wickedly funny , visually engrossing , never boring , this movie challenges us to think about the ways we consume pop culture ."
1,It aimlessly and unsuccessfully attempts to fuse at least three dull plots into one good one .
2,"Queen of the Damned as you might have guessed , makes sorry use of Aaliyah in her one and only starring role -- she does little here but point at things that explode into flame ."
5,"An unsettling , memorable cinematic experience that does its predecessors proud ."
1,"But this new jangle of noise , mayhem and stupidity must be a serious contender for the title ."
5,"In XXX , Diesel is that rare creature -- an action hero with table manners , and one who proves that elegance is more than tattoo deep ."
2,"( Janey ) forgets about her other obligations , leading to a tragedy which is somehow guessable from the first few minutes , maybe because it echoes the by now intolerable morbidity of so many recent movies ."
5,"The AAA of action , XXX is a blast of adrenalin , rated EEE for excitement ."
2,Long on twinkly-eyed close-ups and short on shame .
5,"The overall fabric is hypnotic , and Mr. Mattei fosters moments of spontaneous intimacy ."
2,"Good for a few unintentional laughs , `` Extreme Ops '' was obviously made for the `` XXX '' crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction ."
3,Even more baffling is that it 's funny .
1,The film is a travesty of the genre and even as spoof takes itself too seriously .
3,What we get ... is Caddyshack crossed with the Loyal Order of Raccoons .
3,"Somewhere in the middle , the film compels , as Demme experiments he harvests a few movie moment gems , but the field of roughage dominates ."
5,"Tunney , brimming with coltish , neurotic energy , holds the screen like a true star ."
2,What they see in each other also is difficult to fathom .
4,"Together , Miller , Kuras and the actresses make Personal Velocity into an intricate , intimate and intelligent journey ."
5,It 's Quaid who anchors the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer .
2,It has become apparent that the franchise 's best years are long past .
2,A manipulative feminist empowerment tale thinly posing as a serious drama about spousal abuse .
3,"If The Count of Monte Cristo does n't transform Caviezel into a movie star , then the game is even more rigged than it was two centuries ago ."
4,"Like a precious and finely cut diamond , magnificent to behold in its sparkling beauty yet in reality it 's one tough rock ."
4,"If you love him , you 'll like it ."
4,"This is a smart movie that knows its classical music , knows its Freud and knows its Sade ."
3,Cinematic pratfalls given a working over .
5,"Schepisi , aided by a cast that seems to include every top-notch British actor who did not appear in Gosford Park ( as well as one , Ms. Mirren , who did ) , has succeeded beyond all expectation ."
4,"It 's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children ."
3,"Silly , loud and goofy ."
5,Huppert and Girardot give performances of exceptional honesty .
2,Inconsequential road-and-buddy pic .
5,"This is a finely written , superbly acted offbeat thriller ."
4,An old-fashioned drama of substance about a teacher 's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue .
2,"A broad , melodramatic estrogen opera that 's pretty toxic in its own right ."
5,"A very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth ."
2,"The Mothman Prophecies , which is mostly a bore , seems to exist only for its climactic setpiece ."
4,This deeply spiritual film taps into the meaning and consolation in afterlife communications .
2,Hmmm ... might I suggest that the wayward wooden one end it all by stuffing himself into an electric pencil sharpener ?
4,A rip-roaring comedy action fest that 'll put hairs on your chest .
2,"In the book-on-tape market , the film of `` The Kid Stays in the Picture '' would be an abridged edition"
1,"The film feels formulaic , its plot and pacing typical Hollywood war-movie stuff , while the performances elicit more of a sense of deja vu than awe ."
2,Roman Polanski directs The Pianist like a surgeon mends a broken heart ; very meticulously but without any passion .
2,... the maudlin way its story unfolds suggests a director fighting against the urge to sensationalize his material .
5,"It 's an exhilarating place to visit , this laboratory of laughter ."
3,You have enough finely tuned acting to compensate for the movie 's failings .
5,The world needs more filmmakers with passionate enthusiasms like Martin Scorsese .
5,The immersive powers of the giant screen and its hyper-realistic images are put to perfect use in the breathtakingly beautiful outer-space documentary Space Station 3D .
2,Has it ever been possible to say that Williams has truly inhabited a character ?
4,"For a long time the film succeeds with its dark , delicate treatment of these characters and its unerring respect for them ."
4,"It 's very Beavis and Butthead , yet always seems to elicit a chuckle ."
2,The Transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull .
2,"The movie 's messages are quite admirable , but the story is just too clichéd and too often strains credulity ."
4,"A buoyant romantic comedy about friendship , love , and the truth that we 're all in this together ."
3,How much you are moved by the emotional tumult of ( François and Michèle 's ) relationship depends a lot on how interesting and likable you find them .
4,"Gooding is the energetic frontman , and it 's hard to resist his enthusiasm , even if the filmmakers come up with nothing original in the way of slapstick sequences ."
3,"Super Troopers is an odd amalgam of comedy genres , existing somewhere between the often literal riffs of early Zucker Brothers/Abrahams films , and the decidedly foul stylings of their post-modern contemporaries , The Farrelly Brothers ."
5,Gives everyone something to shout about .
3,Nair does n't use ( Monsoon Wedding ) to lament the loss of culture .
3,Viewers of `` The Ring '' are more likely to remember the haunting images than the plot holes .
4,"Watching the chemistry between Freeman and Judd , however , almost makes this movie worth seeing ."
3,"( It ) highlights not so much the crime lord 's messianic bent , but Spacey 's ."
2,A slow-moving police-procedural thriller that takes its title all too literally .
4,"Jacquot has filmed the opera exactly as the libretto directs , ideally capturing the opera 's drama and lyricism ."
4,"Got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2 - hour , dissipated length ."
3,What puzzles me is the lack of emphasis on music in Britney Spears ' first movie .
